iter	RMSE
0	9.603316088
1	9.453755835
2	9.312929174
3	9.172082592
4	9.031042093
5	8.903422225
6	8.773001017
7	8.649947488
8	8.536479497
9	8.419471103
10	8.316373164
11	8.222776435
12	8.121584067
13	8.043014574
14	7.961746266
15	7.872263339
16	7.78343182
17	7.704350795
18	7.626702242
19	7.553383713
20	7.4857974
21	7.419990607
22	7.34848079
23	7.285432893
24	7.222509609
25	7.16051429
26	7.109513707
27	7.054022563
28	6.999616342
29	6.945751126
30	6.898555024
31	6.852719783
32	6.809948117
33	6.764815002
34	6.723272835
35	6.689844085
36	6.646384724
37	6.604507322
38	6.556202954
39	6.51760899
40	6.479008202
41	6.43982401
42	6.407184488
43	6.376424064
44	6.348391486
45	6.315117859
46	6.278003409
47	6.243661585
48	6.2027165
49	6.172348181
50	6.143172112
51	6.110452964
52	6.077769862
53	6.046909247
54	6.011823616
55	5.975009281
56	5.946358465
57	5.92243674
58	5.893433506
59	5.869140281
60	5.84406278
61	5.819483779
62	5.798318624
63	5.775682716
64	5.752104754
65	5.725915656
66	5.703810515
67	5.68152982
68	5.653856241
69	5.629107917
70	5.602669027
71	5.582472555
72	5.560130423
73	5.532543473
74	5.512520609
75	5.492858165
76	5.474123945
77	5.457154323
78	5.432939275
79	5.415205558
80	5.391931038
81	5.372587118
82	5.348877633
83	5.331390096
84	5.311032571
85	5.290330562
86	5.268558998
87	5.244787583
88	5.223617705
89	5.200683894
90	5.183207255
91	5.167581562
92	5.152040948
93	5.134231636
94	5.112772724
95	5.097124468
96	5.084099757
97	5.064032152
98	5.048898201
99	5.039970797
100	5.022151755
101	4.999842197
102	4.983153369
103	4.967862666
104	4.956069106
105	4.939278347
106	4.926081606
107	4.909452582
108	4.897734922
109	4.88880865
110	4.879153504
111	4.861704493
112	4.844763584
113	4.834312071
114	4.817414874
115	4.807245848
116	4.793233315
117	4.773202521
118	4.755293566
119	4.740552516
120	4.723621781
121	4.711591106
122	4.699976226
123	4.688588229
124	4.676889571
125	4.663963181
126	4.65021936
127	4.629502761
128	4.617552435
129	4.606656442
130	4.589734187
131	4.574041354
132	4.551691616
133	4.535908998
134	4.520500599
135	4.508639319
136	4.490231455
137	4.479551744
138	4.467760344
139	4.449880436
140	4.435170983
141	4.421705132
142	4.408096143
143	4.396372711
144	4.381816335
145	4.367097932
146	4.353607865
147	4.338049536
148	4.326972679
149	4.311872195
150	4.299208447
151	4.279252283
152	4.26367132
153	4.253549473
154	4.23686664
155	4.225947682
156	4.214385037
157	4.199111952
158	4.184119625
159	4.171374143
160	4.155221752
161	4.142802511
162	4.134312448
163	4.125021964
164	4.110829592
165	4.104764805
166	4.086326155
167	4.074553098
168	4.057869895
169	4.045318606
170	4.025959707
171	4.018840933
172	4.008770643
173	3.999945888
174	3.992979389
175	3.973862345
176	3.964470199
177	3.949976863
178	3.930597895
179	3.918472545
180	3.904797875
181	3.894396949
182	3.876879088
183	3.862676629
184	3.84868895
185	3.833657471
186	3.819757321
187	3.806553001
188	3.793231247
189	3.782733943
190	3.767856423
191	3.749462135
192	3.741523705
193	3.729257602
194	3.714297544
195	3.706649848
196	3.687335221
197	3.676601927
198	3.670734511
199	3.656800861
200	3.648172138
201	3.639302368
202	3.624309255
203	3.606119501
204	3.595990902
205	3.577548579
206	3.563699067
207	3.556212402
208	3.546542839
209	3.540852296
210	3.532897813
211	3.515167567
212	3.509977747
213	3.500939185
214	3.49227448
215	3.484105595
216	3.476622099
217	3.472640177
218	3.462797877
219	3.449847729
220	3.442925402
221	3.430661469
222	3.411224787
223	3.395686934
224	3.37697266
225	3.363685622
226	3.355461261
227	3.343796495
228	3.329348028
229	3.313037415
230	3.296311602
231	3.285047847
232	3.266132954
233	3.254132682
234	3.247309998
235	3.236339767
236	3.227448322
237	3.21059127
238	3.197855293
239	3.184847351
240	3.177960855
241	3.171611206
242	3.156195293
243	3.146470169
244	3.130502606
245	3.117974946
246	3.105542636
247	3.099303427
248	3.091756313
249	3.079928691
250	3.065812473
251	3.056224939
252	3.046691958
253	3.031555631
254	3.020615351
255	3.005123353
256	2.992044609
257	2.98351258
258	2.97159679
259	2.959441978
260	2.947382824
261	2.933725645
262	2.920969808
263	2.905180241
264	2.900923816
265	2.892352293
266	2.882069328
267	2.869112588
268	2.860729146
269	2.847815251
270	2.836712884
271	2.82252974
272	2.80941892
273	2.801271196
274	2.789203137
275	2.777920071
276	2.767330658
277	2.754191749
278	2.739846196
279	2.728569988
280	2.718689209
281	2.707275759
282	2.693160356
283	2.680693825
284	2.675041324
285	2.663561586
286	2.651306201
287	2.645353412
288	2.632300287
289	2.620284306
290	2.608581613
291	2.596701759
292	2.584370124
293	2.571618614
294	2.564277288
295	2.552449183
296	2.54244803
297	2.531159013
298	2.52766832
299	2.51584842
300	2.506710038
301	2.499189766
302	2.489977956
303	2.47803408
304	2.46801134
305	2.455472258
306	2.451147465
307	2.438700646
308	2.434056248
309	2.424556716
310	2.417012893
311	2.406655694
312	2.395919627
313	2.388135431
314	2.383258943
315	2.370455513
316	2.361091041
317	2.348116364
318	2.338628753
319	2.330643856
320	2.318232745
321	2.309344834
322	2.305010392
323	2.293552933
324	2.282771207
325	2.272665504
326	2.261048639
327	2.252575699
328	2.246853383
329	2.236086274
330	2.227986722
331	2.220262651
332	2.215959979
333	2.207307675
334	2.199620233
335	2.190409382
336	2.182701658
337	2.171776627
338	2.161616244
339	2.156793733
340	2.150543247
341	2.143553439
342	2.138903337
343	2.129333672
344	2.120240753
345	2.111256563
346	2.107667111
347	2.099418623
348	2.092113031
349	2.084328032
350	2.073467144
351	2.065478367
352	2.057163936
353	2.04891116
354	2.038168824
355	2.034279898
356	2.024725735
357	2.016108036
358	2.007245501
359	2.000323851
360	1.996591864
361	1.988947181
362	1.980425816
363	1.973121028
364	1.966738275
365	1.960214327
366	1.94995524
367	1.942597193
368	1.933610034
369	1.922780619
370	1.912638827
371	1.903556469
372	1.897386915
373	1.889443864
374	1.881799377
375	1.874337843
376	1.867227969
377	1.860086943
378	1.853258436
379	1.846248827
380	1.839737565
381	1.836691637
382	1.831384144
383	1.822540431
384	1.815425547
385	1.807497516
386	1.799927025
387	1.79204788
388	1.786079595
389	1.779673158
390	1.774332974
391	1.769238674
392	1.758354575
393	1.751697317
394	1.742211187
395	1.733238364
396	1.725658214
397	1.719827773
398	1.709978308
399	1.704071505
400	1.696873686
401	1.688157409
402	1.680975192
403	1.672538823
404	1.665802001
405	1.664249081
406	1.658461184
407	1.654378205
408	1.650074961
409	1.643358187
410	1.637011117
411	1.629757912
412	1.623688388
413	1.618264684
414	1.611352581
415	1.606328949
416	1.598265407
417	1.591359941
418	1.586301743
419	1.581091211
420	1.574566417
421	1.567658041
422	1.562066835
423	1.555807325
424	1.548995115
425	1.542928407
426	1.536110179
427	1.533021641
428	1.530474103
429	1.52349301
430	1.51609634
431	1.509358411
432	1.502872732
433	1.497621771
434	1.492932817
435	1.485324954
436	1.478692674
437	1.474146964
438	1.466319524
439	1.461245723
440	1.457489315
441	1.451620385
442	1.446480718
443	1.439479752
444	1.432828272
445	1.426364757
446	1.41971715
447	1.412595233
448	1.406377985
449	1.401779642
450	1.395686212
451	1.389619999
452	1.383205629
453	1.378371321
454	1.371381214
455	1.366905641
456	1.362577586
457	1.355489123
458	1.350854013
459	1.345299835
460	1.338826602
461	1.33516472
462	1.32924228
463	1.322776431
464	1.318396912
465	1.312567495
466	1.307415962
467	1.302250594
468	1.298258969
469	1.294798938
470	1.289184641
471	1.283960381
472	1.280045613
473	1.274508941
474	1.270850679
475	1.266954023
476	1.26180334
477	1.256348627
478	1.254622741
479	1.24739693
480	1.241618172
481	1.236078565
482	1.229979514
483	1.224724167
484	1.219354415
485	1.21328913
486	1.209458098
487	1.204546936
488	1.200940054
489	1.196294919
490	1.191889666
491	1.187714408
492	1.184996733
493	1.179520163
494	1.175723077
495	1.170199044
496	1.16395008
497	1.159522094
498	1.156840089
499	1.151659428
500	1.146655963
501	1.142945411
502	1.138917752
503	1.135157651
504	1.131435481
505	1.126051124
506	1.121991076
507	1.116111165
508	1.111854317
509	1.106748266
510	1.102807786
511	1.098620284
512	1.094996192
513	1.090694661
514	1.086961055
515	1.081517449
516	1.077757952
517	1.074507954
518	1.069098205
519	1.065977845
520	1.061742791
521	1.058040721
522	1.053324965
523	1.049940618
524	1.045246821
525	1.041922655
526	1.03809641
527	1.032249746
528	1.02744307
529	1.024598731
530	1.020472482
531	1.017156676
532	1.013425554
533	1.008401267
534	1.005272164
535	1.002021467
536	0.9971645403
537	0.9934234297
538	0.9898949721
539	0.9875909077
540	0.9847633093
541	0.9816562369
542	0.9785908281
543	0.9768188872
544	0.9745819114
545	0.9710700594
546	0.9671984672
547	0.9635224723
548	0.9609908314
549	0.9580057227
550	0.9555881893
551	0.9530825279
552	0.9494431117
553	0.9464263806
554	0.943337798
555	0.937927061
556	0.9339395472
557	0.9310337456
558	0.9276096354
559	0.9246572544
560	0.9220829479
561	0.9186020854
562	0.9153736848
563	0.9119092731
564	0.9084851285
565	0.9052109691
566	0.9033626991
567	0.9005576441
568	0.8977118177
569	0.8940337882
570	0.8916005083
571	0.8888816253
572	0.8866566655
573	0.8825222998
574	0.8789312355
575	0.8757705113
576	0.8726729115
577	0.8691145451
578	0.8656231876
579	0.8622064815
580	0.8594284828
581	0.8559296581
582	0.8535028433
583	0.8515803043
584	0.8493085427
585	0.8461282208
586	0.8442029398
587	0.8412610243
588	0.837985113
589	0.8357216295
590	0.832928404
591	0.8299453648
592	0.8273635096
593	0.8241613209
594	0.8201060229
595	0.8177593165
596	0.8140848113
597	0.8114088726
598	0.8078739631
599	0.8046491775
600	0.8027002451
601	0.7991068844
602	0.7957307853
603	0.7934282306
604	0.7916871222
605	0.7893381806
606	0.7873115552
607	0.7847824144
608	0.7809767607
609	0.7787797273
610	0.7757341797
611	0.7733835223
612	0.77083752
613	0.7687715535
614	0.7662894188
615	0.7630742377
616	0.7597372127
617	0.7562432025
618	0.7536579665
619	0.7510463457
620	0.7487799471
621	0.7462944134
622	0.7433177005
623	0.7417658162
624	0.7393494894
625	0.7365339793
626	0.7343279649
627	0.7316812452
628	0.7284839765
629	0.7264317675
630	0.7239253768
631	0.7207230087
632	0.7188315975
633	0.7157465221
634	0.7127586177
635	0.7101782191
636	0.7081585505
637	0.7057397045
638	0.7033022986
639	0.7014383416
640	0.7003251138
641	0.6971869579
642	0.6947770512
643	0.6925746421
644	0.6896458768
645	0.6878596628
646	0.6856407332
647	0.6832084478
648	0.6801614005
649	0.6780071939
650	0.6740747468
651	0.6714572318
652	0.6693169102
653	0.6671982572
654	0.6643718136
655	0.6623266316
656	0.6589786344
657	0.657283313
658	0.6562094282
659	0.653518993
660	0.6503236572
661	0.648558921
662	0.6459882098
663	0.6431757026
664	0.6410557447
665	0.6384974097
666	0.6365686838
667	0.634414655
668	0.6323824517
669	0.6302053488
670	0.6296472401
671	0.6290837622
672	0.6270832718
673	0.6257872239
674	0.6230962935
675	0.621448938
676	0.6181201912
677	0.6172541884
678	0.6156149694
679	0.6131099358
680	0.6115557273
681	0.6086935329
682	0.6059774598
683	0.6029103057
684	0.6001291505
685	0.5979945553
686	0.5952247419
687	0.5924659861
688	0.5895157834
689	0.5885406513
690	0.5856081852
691	0.5835183327
692	0.5817180274
693	0.5786599686
694	0.577485339
695	0.5746148528
696	0.5730061455
697	0.5712645562
698	0.5707793987
699	0.5699568186
700	0.5684927033
701	0.5676489892
702	0.564913401
703	0.5642391475
704	0.5621684649
705	0.5612094117
706	0.5595718478
707	0.556739319
708	0.5542738979
709	0.5517087544
710	0.5500868276
711	0.5480566986
712	0.5458718539
713	0.5437579709
714	0.5413836615
715	0.5394772347
716	0.537272952
717	0.5340795083
718	0.5322043639
719	0.5298385845
720	0.5279275643
721	0.5259245248
722	0.5237313231
723	0.5212091408
724	0.5200022701
725	0.517830517
726	0.5171975154
727	0.5155168112
728	0.5127805139
729	0.5112149044
730	0.5093421109
731	0.5071817917
732	0.5059518375
733	0.5035276053
734	0.5019380715
735	0.5002107678
