iter	Passed	Remaining
0	78	93756
1	86	51615
2	96	38626
3	105	31660
4	113	27191
5	123	24527
6	131	22465
7	140	20871
8	148	19593
9	156	18570
10	164	17797
11	172	17080
12	180	16454
13	188	15947
14	198	15655
15	207	15345
16	215	14995
17	223	14682
18	231	14399
19	241	14259
20	254	14269
21	266	14267
22	279	14305
23	290	14211
24	302	14224
25	312	14109
26	325	14154
27	338	14153
28	347	14041
29	359	14021
30	369	13928
31	379	13862
32	390	13811
33	400	13751
34	412	13728
35	420	13592
36	429	13501
37	439	13441
38	448	13347
39	456	13246
40	466	13184
41	474	13082
42	482	12984
43	490	12887
44	501	12878
45	509	12787
46	517	12697
47	525	12610
48	535	12576
49	544	12517
50	552	12454
51	562	12409
52	571	12365
53	580	12317
54	590	12301
55	600	12262
56	609	12227
57	620	12218
58	633	12248
59	646	12289
60	658	12292
61	668	12272
62	680	12288
63	690	12263
64	717	12521
65	753	12947
66	769	13014
67	800	13329
68	813	13337
69	828	13374
70	845	13452
71	859	13470
72	876	13530
73	887	13506
74	899	13496
75	912	13500
76	924	13480
77	935	13455
78	949	13468
79	955	13383
80	965	13339
81	973	13276
82	981	13211
83	990	13153
84	1000	13119
85	1008	13060
86	1016	13009
87	1025	12952
88	1035	12922
89	1043	12866
90	1051	12817
91	1061	12779
92	1069	12734
93	1077	12679
94	1085	12630
95	1094	12583
96	1103	12548
97	1112	12507
98	1131	12583
99	1153	12688
100	1179	12838
101	1210	13027
102	1228	13089
103	1240	13070
104	1256	13104
105	1277	13185
106	1297	13254
107	1326	13410
108	1349	13505
109	1365	13534
110	1389	13632
111	1401	13617
112	1414	13611
113	1438	13703
114	1451	13690
115	1462	13667
116	1472	13629
117	1482	13589
118	1492	13557
119	1500	13506
120	1511	13477
121	1521	13440
122	1531	13407
123	1539	13356
124	1547	13307
125	1555	13261
126	1565	13224
127	1577	13214
128	1586	13172
129	1596	13138
130	1606	13111
131	1618	13094
132	1628	13062
133	1638	13036
134	1646	12991
135	1659	12979
136	1670	12961
137	1680	12935
138	1688	12892
139	1696	12847
140	1706	12820
141	1715	12778
142	1724	12746
143	1734	12716
144	1743	12683
145	1751	12643
146	1759	12603
147	1769	12579
148	1777	12540
149	1786	12502
150	1796	12477
151	1804	12438
152	1812	12401
153	1821	12369
154	1830	12342
155	1838	12305
156	1846	12267
157	1854	12232
158	1862	12195
159	1875	12188
160	1906	12304
161	1917	12287
162	1932	12292
163	1947	12301
164	1961	12303
165	1970	12276
166	1981	12258
167	1991	12231
168	2000	12207
169	2009	12175
170	2018	12145
171	2031	12141
172	2045	12141
173	2056	12123
174	2066	12104
175	2080	12107
176	2097	12124
177	2107	12102
178	2122	12108
179	2136	12106
180	2146	12082
181	2154	12053
182	2165	12033
183	2179	12032
184	2187	12002
185	2196	11972
186	2206	11954
187	2214	11922
188	2223	11892
189	2234	11877
190	2243	11849
191	2254	11837
192	2264	11814
193	2274	11793
194	2284	11772
195	2295	11757
196	2304	11733
197	2313	11705
198	2323	11689
199	2333	11666
200	2344	11651
201	2352	11622
202	2360	11595
203	2371	11576
204	2379	11547
205	2387	11521
206	2398	11504
207	2407	11481
208	2416	11456
209	2426	11441
210	2436	11419
211	2444	11391
212	2453	11367
213	2461	11340
214	2469	11315
215	2480	11298
216	2490	11280
217	2501	11267
218	2509	11240
219	2518	11216
220	2535	11231
221	2549	11230
222	2558	11211
223	2569	11196
224	2579	11176
225	2590	11165
226	2599	11141
227	2609	11126
228	2619	11108
229	2628	11086
230	2640	11074
231	2654	11074
232	2669	11077
233	2682	11073
234	2697	11075
235	2711	11076
236	2727	11084
237	2736	11061
238	2748	11050
239	2756	11025
240	2764	11001
241	2787	11033
242	2795	11009
243	2807	10999
244	2817	10983
245	2831	10979
246	2848	10992
247	2863	10993
248	2873	10973
249	2891	10986
250	2901	10969
251	2911	10952
252	2924	10944
253	2938	10943
254	2952	10941
255	2963	10929
256	2972	10906
257	2982	10887
258	2992	10873
259	3000	10848
260	3011	10834
261	3020	10814
262	3033	10807
263	3042	10788
264	3055	10779
265	3063	10757
266	3074	10742
267	3084	10726
268	3094	10711
269	3104	10694
